"","contact_serial_no","infant_serial_no","contact_age","contact_time"
"557","4C-02-053-03","4C-02-053",45,2
"558","4C-02-054-01","4C-02-054",32,3
"559","4C-02-054-02","4C-02-054",67,2
"560","4C-02-054-03","4C-02-054",25,2
"561","4C-02-054-04","4C-02-054",67,2
"562","4C-02-054-05","4C-02-054",35,2
"563","4C-02-054-06","4C-02-054",38,3
"564","4C-02-055-01","4C-02-055",33,3
"565","4C-02-055-02","4C-02-055",35,3
"566","4C-02-055-03","4C-02-055",4,2
"567","4C-02-056-01","4C-02-056",25,3
"568","4C-02-056-02","4C-02-056",32,3
"569","4C-02-056-03","4C-02-056",57,2
"570","4C-02-056-04","4C-02-056",35,3
"571","4C-02-056-05","4C-02-056",31,2
"572","4C-02-057-01","4C-02-057",25,3
"573","4C-02-057-02","4C-02-057",24,3
"574","4C-02-057-03","4C-02-057",20,3
"575","4C-02-057-04","4C-02-057",52,3
"576","4C-02-057-05","4C-02-057",54,2
"577","4C-02-058-01","4C-02-058",28,3
"578","4C-02-058-02","4C-02-058",29,3
"579","4C-02-058-03","4C-02-058",26,3
"580","4C-02-058-04","4C-02-058",32,2
"581","4C-02-058-05","4C-02-058",37,2
"582","4C-02-059-01","4C-02-059",27,3
"583","4C-02-059-02","4C-02-059",56,2
"584","4C-02-059-03","4C-02-059",26,2
"585","4C-02-059-04","4C-02-059",56,3
"586","4C-02-059-05","4C-02-059",55,3
"587","4C-02-059-06","4C-02-059",28,2
"588","4C-02-059-07","4C-02-059",22,2
"589","4C-02-059-08","4C-02-059",23,2
"590","4C-02-059-09","4C-02-059",7,2
"591","4C-02-060-01","4C-02-060",26,3
"592","4C-02-060-02","4C-02-060",54,2
"593","4C-02-060-03","4C-02-060",17,2
"594","4C-02-060-04","4C-02-060",9,2
"595","4C-02-060-05","4C-02-060",26,2
"596","4C-03-001-01","4C-03-001",37,3
"597","4C-03-001-02","4C-03-001",40,3
"598","4C-03-001-03","4C-03-001",9,1
"599","4C-03-001-04","4C-03-001",30,2
